drugbank_id,drug_name,pseudo_label_score,pseudo_label_rank,target_overlap_count,target_overlap_weight,has_lincs_match,is_approved
DB00606,Cyclothiazide,0.2315227406410872,124,3,6.136313744379974,0,1
DB03017,Lauric acid,0.23128221282203976,125,2,6.0894918585950055,0,1
DB00316,Acetaminophen,0.23117014117362444,126,2,5.94996554593232,1,1
DB09195,Lorpiprazole,0.23097758323384088,127,2,6.030191725072567,0,1
DB12319,Benzbromarone,0.23095718637488766,128,1,4.966830304854997,1,1
DB00580,Valdecoxib,0.23069111928151365,129,1,3.9439285358482863,1,1
DB15258,Imlifidase,0.23004222878327207,130,1,15.581266686355583,0,1
DB12965,Silver,0.22964927644730904,131,1,5.771619436458652,0,1
DB01069,Promethazine,0.22959153186327202,132,1,4.024154714988533,1,1
DB05381,Histamine,0.22948830536784431,133,1,5.740284310537544,0,1
DB06714,Propylhexedrine,0.22948830536784431,134,1,5.740284310537544,0,1
DB01089,Deserpidine,0.22948830536784431,135,1,5.740284310537544,0,1
DB11915,Valbenazine,0.22948830536784431,136,1,5.740284310537544,0,1
DB12161,Deutetrabenazine,0.22948830536784431,137,1,5.740284310537544,0,1
DB00184,Nicotine,0.22923764342900005,138,1,4.926374032284808,1,1
DB06595,Midostaurin,0.22845740203589238,139,1,4.980482516465038,1,1
DB00477,Chlorpromazine,0.22838215922532795,140,1,4.024154714988533,1,1
DB00114,Pyridoxal phosphate,0.22834591565785345,141,2,5.517903212438531,0,1
DB00991,Oxaprozin,0.2278188592663965,142,1,3.9439285358482863,1,1
DB00554,Piroxicam,0.22766768768665346,143,1,3.9439285358482863,1,1
DB00551,Acetohydroxamic acid,0.2272639770528318,144,1,5.071869511468496,1,1
DB00482,Celecoxib,0.22721417294742446,145,1,3.9439285358482863,1,1
DB09074,Olaparib,0.2270597127739985,146,0,0.0,1,1
DB00586,Diclofenac,0.22691182978793845,147,1,3.9439285358482863,1,1
DB03088,Pidolic acid,0.22673595757021364,148,2,5.204503814412107,0,1
DB00734,Risperidone,0.22671927184815488,149,1,4.024154714988533,1,1
DB09336,Technetium Tc-99m nofetumomab merpentan,0.2264991051663723,150,1,14.891551334636427,0,1
DB13881,Tisagenlecleucel,0.2264991051663723,151,1,14.891551334636427,0,1
DB00073,Rituximab,0.2264991051663723,152,1,14.891551334636427,0,1
DB00078,Ibritumomab tiuxetan,0.2264991051663723,153,1,14.891551334636427,0,1
DB06650,Ofatumumab,0.2264991051663723,154,1,14.891551334636427,0,1
DB08935,Obinutuzumab,0.2264991051663723,155,1,14.891551334636427,0,1
DB11850,Ublituximab,0.2264991051663723,156,1,14.891551334636427,0,1
DB11988,Ocrelizumab,0.2264991051663723,157,1,14.891551334636427,0,1
DB32138,Indium In-111 ibritumomab tiuxetan,0.2264991051663723,158,1,14.891551334636427,0,1
DB32139,Yttrium y-90 ibritumomab tiuxetan,0.2264991051663723,159,1,14.891551334636427,0,1
DB11718,Encorafenib,0.22646997120251544,160,1,5.15272608916582,0,1
DB06153,Pizotifen,0.22641692868866886,161,1,4.024154714988533,1,1
DB00370,Mirtazapine,0.22641692868866886,162,1,4.024154714988533,1,1
DB01186,Pergolide,0.22626575710892588,163,1,4.024154714988533,1,1
DB00211,Midodrine,0.22626575710892588,164,1,4.024154714988533,1,1
DB00346,Alfuzosin,0.22626575710892588,165,1,4.024154714988533,1,1
